2024-06-10 13:56:18
2.979: SRC: 0x1, DST: 0x53, MESS: GGS
2.979: SRC: 0x52, DST: 0x1, MESS: R00 1 0
2.980: SRC: 0x53, DST: 0x1, MESS: R00 1 0
2.980: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
2.981: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
2.981: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
2.982: SRC: 0x1, DST: 0x52, MESS: IGI 1
2.982: SRC: 0x1, DST: 0x53, MESS: IGI 1
2.983: SRC: 0x52, DST: 0x1, MESS: R00 0
2.983: SRC: 0x53, DST: 0x1, MESS: R00 0
2.984: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.027: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.028: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.028: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.029: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.077: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.078: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.078: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.079: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.127: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.128: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.128: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.129: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.177: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.178: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.178: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.179: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.227: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.227: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.228: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.229: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.277: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.277: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.278: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.278: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
